emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,127.0,126.0,128.0,127.0,127.0,107.0,129.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
127.0,128.0,126.0,128.0,127.0,127.0,112.0,129.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
127.0,127.0,126.0,128.0,127.0,127.0,113.0,129.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
127.0,127.0,126.0,128.0,127.0,127.0,113.0,128.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
127.0,127.0,126.0,128.0,127.0,127.0,113.0,128.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
127.0,127.0,126.0,128.0,127.0,127.0,113.0,128.0,27.0,-110.0,-68.0,127.0,127.0,127.0,119.0,88.0,-113.0
126.0,127.0,127.0,127.0,127.0,127.0,113.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,127.0,127.0,126.0,112.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,107.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,106.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,128.0,127.0,128.0,127.0,127.0,110.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,110.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,111.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,113.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,113.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,114.0,128.0,28.0,-110.0,-68.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,127.0,127.0,128.0,127.0,127.0,108.0,128.0,29.0,-110.0,-67.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,128.0,127.0,128.0,127.0,127.0,106.0,128.0,29.0,-110.0,-67.0,127.0,127.0,127.0,118.0,88.0,-113.0
126.0,128.0,127.0,128.0,127.0,127.0,106.0,128.0,29.0,-110.0,-67.0,127.0,127.0,127.0,118.0,88.0,-113.0
