emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,125.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,125.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,124.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,126.0,128.0,126.0,123.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,125.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,127.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,127.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,127.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,126.0,126.0,126.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,127.0,127.0,126.0,126.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,126.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,127.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
126.0,127.0,126.0,127.0,126.0,127.0,127.0,125.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,128.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,128.0,126.0,127.0,126.0,127.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,127.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,128.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,126.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
127.0,127.0,127.0,127.0,126.0,127.0,126.0,126.0,-1.0,98.0,-92.0,127.0,127.0,127.0,-103.0,-82.0,111.0
