emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,113.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,113.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,113.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,127.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,127.0,126.0,111.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,127.0,126.0,111.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,127.0,126.0,111.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,127.0,126.0,112.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,112.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,111.0,128.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,29.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,126.0,126.0,111.0,127.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,126.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,29.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,111.0,128.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,127.0,126.0,111.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,127.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,127.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,127.0,126.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,127.0,126.0,126.0,112.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,125.0,126.0,126.0,112.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,125.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,125.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,125.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,127.0,126.0,111.0,128.0,27.0,-109.0,-69.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,126.0,127.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,126.0,128.0,126.0,126.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,112.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,127.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,127.0,128.0,126.0,126.0,126.0,112.0,128.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
127.0,127.0,128.0,126.0,127.0,126.0,111.0,128.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,127.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,126.0,126.0,111.0,128.0,26.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,128.0,125.0,127.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,125.0,127.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,127.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,127.0,126.0,112.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,126.0,127.0,126.0,111.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,112.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,111.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,128.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,127.0,127.0,126.0,127.0,126.0,112.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,27.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,128.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,128.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-68.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,126.0,113.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,127.0,113.0,128.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,127.0,112.0,128.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,127.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,127.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,127.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,126.0,113.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,127.0,126.0,126.0,113.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,128.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,128.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,125.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,112.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,125.0,126.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
126.0,126.0,127.0,126.0,127.0,126.0,111.0,127.0,28.0,-109.0,-67.0,127.0,127.0,127.0,116.0,89.0,-113.0
